,tipo,barrio,sup,pricem2,habs
0,PH,Mataderos,55.0,1127.27,2.0
1,apartment,Mataderos,55.0,1309.09,2.0
2,apartment,Belgrano,45.0,3066.67,1.0
3,apartment,Belgrano,65.0,3000.0,2.0
4,apartment,Palermo,50.0,2234.0,1.0
5,apartment,Palermo,42.0,3521.43,1.0
6,PH,Mataderos,140.0,1707.14,4.0
7,apartment,Palermo,104.0,3365.38,3.0
8,apartment,Palermo,118.0,2292.37,4.0
9,apartment,Flores,43.0,1744.19,2.0
10,apartment,Boedo,80.0,1812.5,4.0
11,apartment,Las Cañitas,220.0,2181.82,3.0
13,apartment,Balvanera,141.0,1702.13,5.0
14,house,Boedo,504.0,1091.27,6.0
15,apartment,Caballito,50.0,2200.0,3.0
16,apartment,Caballito,100.0,1705.0,2.0
17,apartment,Caballito,81.0,2721.11,3.0
18,apartment,Caballito,81.0,2750.37,3.0
19,apartment,Caballito,70.0,1542.86,3.0
20,apartment,Nuñez,50.0,3460.0,2.0
21,apartment,Boedo,38.0,1918.42,1.0
22,apartment,Almagro,50.0,2198.0,2.0
23,apartment,Belgrano,55.0,3236.36,2.0
24,PH,Colegiales,126.0,1976.19,6.0
25,house,Floresta,600.0,365.83,3.0
26,apartment,Balvanera,80.0,1612.5,4.0
27,apartment,Caballito,51.0,2509.8,2.0
28,apartment,Balvanera,71.0,1661.97,2.0
29,apartment,Barrio Norte,35.0,2657.14,1.0
30,PH,Barracas,156.0,1025.64,5.0
31,apartment,Recoleta,196.0,1938.78,7.0
34,apartment,Villa Crespo,42.0,1757.14,1.0
35,apartment,Villa Crespo,44.0,1636.36,1.0
36,apartment,Las Cañitas,68.0,3455.88,2.0
37,apartment,Belgrano,57.0,4210.53,2.0
39,apartment,Belgrano,160.0,3437.5,4.0
40,apartment,Villa Crespo,33.0,1878.79,1.0
41,apartment,Belgrano,310.0,3548.39,6.0
42,apartment,Belgrano,69.0,3447.75,2.0
43,apartment,Belgrano,69.0,3447.75,2.0
44,apartment,Flores,65.0,1523.08,3.0
45,apartment,Nuñez,66.0,3469.7,2.0
46,apartment,Nuñez,45.0,3000.0,1.0
47,apartment,Recoleta,191.0,3246.07,5.0
48,apartment,Belgrano,33.0,2806.06,1.0
49,apartment,Caballito,158.0,2816.46,5.0
50,PH,Almagro,85.0,1941.18,4.0
51,apartment,Palermo,39.0,3776.92,1.0
52,apartment,Puerto Madero,109.0,5045.87,4.0
53,apartment,Constitución,90.0,987.78,3.0
54,apartment,Puerto Madero,198.0,6035.35,4.0
